Season,Team,W,L,WPct,wRC+,FIP-,OPS+,ERA-,Payroll,log_Payroll
2024,LAA,63,99,0.3888888888888889,91,113,89,112,172189987,18.96410900076437
2024,BAL,91,71,0.5617283950617284,114,97,115,99,111345494,18.52814848385288
2024,BOS,81,81,0.5,105,100,107,97,190037445,19.062731689654623
2024,CHW,41,121,0.25308641975308643,75,108,76,116,141710031,18.769293492557644
2024,CLE,92,69,0.5714285714285714,100,98,100,91,106824582,18.48669862654498
2024,DET,86,76,0.5308641975308642,94,90,92,90,98521614,18.405786513542836
2024,KCR,86,76,0.5308641975308642,97,92,101,91,125570914,18.64838120874729
2024,MIN,82,80,0.5061728395061729,106,94,103,105,131225880,18.692430671119396
2024,NYY,94,68,0.5802469135802469,118,97,115,95,315601274,19.56999018368323
2024,OAK,69,93,0.42592592592592593,101,107,101,113,63407581,17.96509398639153
2024,SEA,85,77,0.5246913580246914,104,95,102,93,149342098,18.82175019195313
2024,TBR,80,82,0.49382716049382713,95,102,92,98,89857421,18.31373476099412
2024,TEX,78,84,0.48148148148148145,97,105,100,110,227545408,19.242860372043122
2024,TOR,74,88,0.4567901234567901,101,107,98,107,219088534,19.204986470927942
2024,ARI,89,73,0.5493827160493827,115,104,114,111,178306829,18.999016382716857
2024,ATL,89,73,0.5493827160493827,101,87,100,84,238213938,19.28867972702751
2024,CHC,83,79,0.5123456790123457,100,101,100,94,232067975,19.262540882405386
2024,CIN,77,85,0.47530864197530864,89,100,88,95,102298613,18.443406672667674
2024,COL,61,101,0.3765432098765432,82,115,87,117,147354943,18.808354812564286
2024,MIA,62,100,0.38271604938271603,87,109,87,113,97494283,18.395304298351487
2024,HOU,88,73,0.546583850931677,111,99,110,94,248559896,19.331194404638936
2024,LAD,98,64,0.6049382716049383,117,100,120,96,266640208,19.401410772041462
2024,MIL,93,69,0.5740740740740741,105,103,102,89,124643744,18.64097017814648
2024,WSN,71,91,0.4382716049382716,92,97,93,104,106445407,18.483142801355523
2024,NYM,89,73,0.5493827160493827,108,100,108,99,320513315,19.58543437792383
2024,PHI,95,67,0.5864197530864198,107,93,106,92,244253627,19.31371769831632
2024,PIT,76,86,0.4691358024691358,86,100,88,99,85400989,18.262868239487993
2024,STL,83,79,0.5123456790123457,98,99,97,101,179432759,19.005311094040565
2024,SDP,93,69,0.5740740740740741,111,94,107,97,172855090,18.96796417139617
2024,SFG,80,82,0.49382716049382713,97,97,100,102,207084048,19.148635297807687
2023,LAA,73,89,0.4506172839506173,102,107,101,107,230534276,19.255910112165765
2023,BAL,101,61,0.6234567901234568,105,93,107,93,71061047,18.07904988247619
